zodiac,question,card1,card2,card3,reading,category,question_sentiment,reading_sentiment
Scorpio,Will we get back together?,The Hierophant,Ten of Swords,Four of Wands,"Reading:  The Hierophant suggests you're clinging to traditional ideas. The Ten of Swords shows a painful ending, but the Four of Wands hints at future stability elsewhere.  Focus on healing and building a new foundation for yourself.",love,NEGATIVE,POSITIVE
Taurus,What do I need to work on before loving again?,The Sun,Knight of Wands,Three of Cups,Reading:  The Sun shows you need to rediscover your own joy first.  The Knight of Wands encourages embracing spontaneity and passion.  The Three of Cups suggests reconnecting with friends and your support system.  Focus on yourself and your happiness.,love,NEGATIVE,POSITIVE
Aries,What is blocking me from finding love?,Six of Wands,Queen of Cups,The Tower,"Reading:  Aries, your past victories (Six of Wands) make you emotionally guarded (Queen of Cups).  A sudden change (The Tower) is needed to open yourself up.  Let go of old habits to embrace new possibilities.",love,NEGATIVE,POSITIVE
Pisces,Will I be reunited with my soulmate?,Ace of Swords,The Lovers,Two of Pentacles,Reading:  The Ace of Swords suggests a fresh start in your thinking about love. The Lovers and Two of Pentacles indicate a decision needs to be made to balance your needs and theirs.  Think clearly and honestly about what you truly want.,love,POSITIVE,POSITIVE
Scorpio,Will I find true love this year?,Three of Swords,Four of Pentacles,Two of Cups,"Reading:  Scorpio, heartbreak may linger from the past, making you guarded (Three of Swords).  You might prioritize security over opening your heart (Four of Pentacles).  However, a loving connection is still possible (Two of Cups). Let go of the past to welcome new love.",love,POSITIVE,POSITIVE
Aquarius,What can I do to attract love into my life?,Five of Swords,Page of Cups,The Sun,"Reading:  Aquarius, the Five of Swords suggests letting go of past hurts. The Page of Cups encourages opening yourself to new emotional experiences.  The Sun promises joy and fulfillment ahead.  Embrace vulnerability and optimism.",love,POSITIVE,POSITIVE
Aries,Why do I feel so disconnected from my partner?,Eight of Wands,The Chariot,The Emperor,"Aries, the Eight of Wands, Chariot, and Emperor suggest things are moving fast, but you're not in the driver's seat. You and your partner have different approaches to control and communication.  Focus on open conversations to bridge the gap.",love,NEGATIVE,POSITIVE
Libra,Is my current partner the one for me?,Ten of Pentacles,Queen of Pentacles,Two of Wands,"Libra, the cards suggest a stable and abundant future with your partner, but you may face a choice about your shared direction soon. The Queen and Ten of Pentacles represent comfort and security, while the Two of Wands asks you to consider your long-term goals together. Think practically about your combined future.",love,NEGATIVE,POSITIVE
Capricorn,How can I rebuild trust after betrayal?,The Moon,The Lovers,Seven of Cups,"Reading:  Capricorn, The Moon reveals hidden emotions surrounding this betrayal. The Lovers and Seven of Cups suggest you need to choose a path forward, focusing on clear communication.  Consider what truly fulfills you and take steps to heal.",love,NEGATIVE,POSITIVE
Libra,What is the next step in our relationship?,Knight of Cups,The Magician,The Hanged Man,"Reading:  The Knight of Cups suggests a romantic offer or gesture is coming. The Magician shows you have the power to manifest your desires. However, The Hanged Man asks you to pause and reflect before acting.  Consider all perspectives before moving forward.",love,POSITIVE,NEGATIVE
Capricorn,Am I in a twin flame relationship?,Page of Pentacles,The Star,The Sun,"Reading:  Capricorn, the Page of Pentacles, Star, and Sun suggest this connection has great potential for growth and happiness.  It looks promising, with a solid foundation and bright future.  Focus on nurturing this bond for continued joy.",love,NEGATIVE,POSITIVE
Aries,What is my heart truly longing for?,Eight of Cups,King of Wands,Queen of Cups,"Aries, you're ready to leave something unfulfilling behind to pursue inspired action.  This new path aligns with your passionate nature and emotional intelligence.  Embrace the change and lead with your heart.",love,POSITIVE,POSITIVE
Libra,Will I be reunited with my soulmate?,Ace of Wands,The Magician,The Devil,"Libra, the Ace of Wands and The Magician show potential for a new beginning and manifestation.  However, The Devil suggests unhealthy attachments are holding you back.  Focus on personal growth first.",love,POSITIVE,POSITIVE
Gemini,Will my long-distance relationship work out?,Four of Wands,Death,King of Pentacles,"Reading:  The Four of Wands suggests a stable foundation, but Death indicates a necessary transformation. The King of Pentacles shows potential for long-term security if you embrace the change.  Adapt and communicate openly.",love,NEGATIVE,POSITIVE
Sagittarius,Is my partner being honest with me?,Ten of Cups,King of Cups,King of Pentacles,"Reading:  The Ten and King of Cups suggest an emotionally fulfilling partnership, but the King of Pentacles hints at some material or practical concerns your partner may be holding back.  They likely value stability and are trying to protect you. Open communication will strengthen your bond.",love,NEGATIVE,POSITIVE
Pisces,What can I do to attract love into my life?,The Sun,Five of Wands,Four of Pentacles,"Reading:  The Sun shows you're ready for a bright, joyful connection.  The Five of Wands suggests you let go of internal conflicts about relationships.  The Four of Pentacles reminds you to open your heart, not just your wallet.  Focus on genuine connection.",love,POSITIVE,POSITIVE
Aquarius,Am I sabotaging my relationships unknowingly?,The Emperor,Six of Pentacles,The Magician,"Aquarius, you're taking charge, but unevenly distributing energy, as shown by The Emperor and Six of Pentacles. The Magician suggests you possess all the tools for success. Review your giving/receiving balance in relationships.",love,NEGATIVE,POSITIVE
Virgo,How can I heal from heartbreak?,King of Pentacles,Three of Swords,Nine of Cups,"Virgo, the King of Pentacles shows you're resourceful enough to rebuild your stability.  The Three of Swords suggests acknowledging your pain, but the Nine of Cups indicates joy is returning. Focus on practical self-care and emotional honesty to move forward.",love,NEGATIVE,POSITIVE
Gemini,Why do I keep attracting the wrong people?,Knight of Cups,Nine of Wands,Seven of Pentacles,"Reading:  Gemini, you're charming (Knight of Cups) but guarded from past hurts (Nine of Wands), slowing your growth (Seven of Pentacles).  You might be drawing in others who mirror that cautious energy.  Try opening yourself up to different types of people.",love,NEGATIVE,NEGATIVE
Aries,How do I know if it's time to walk away?,King of Cups,The Hermit,Six of Swords,Reading:  The King of Cups suggests you're emotionally mature enough to make this call.  The Hermit points towards introspection and needing some space to figure things out.  The Six of Swords indicates a journey away from a difficult situation. Trust your gut and prioritize your well-being.,love,NEGATIVE,POSITIVE
Scorpio,Why do I feel so disconnected from my partner?,Ace of Swords,The Lovers,Death,Reading:  The Ace of Swords suggests a new perspective is needed.  The Lovers highlights a choice regarding your connection.  Death signifies a necessary ending to make way for a fresh start.  Consider honest communication to move forward.,love,NEGATIVE,POSITIVE
Cancer,Will this crush turn into something more?,Eight of Swords,The Chariot,Wheel of Fortune,"Reading:  You feel trapped by indecision (Eight of Swords), but you have the power to move forward (The Chariot).  Fate is on your side, bringing change and opportunity (Wheel of Fortune).  Take a chance and see what happens.",love,NEGATIVE,POSITIVE
Gemini,Am I seeing this relationship clearly?,King of Cups,Five of Wands,Four of Wands,"Reading:  The King of Cups suggests you're approaching this relationship with emotional maturity. However, the Five of Wands hints at unresolved conflicts clouding your view.  The Four of Wands indicates a stable foundation despite these challenges.  Focus on open communication to navigate current disagreements.",love,POSITIVE,POSITIVE
Taurus,Should I confess my feelings to them?,Five of Wands,Seven of Wands,The Devil,Reading:  The Five and Seven of Wands suggest conflict and needing to defend yourself.  The Devil card indicates unhealthy attachments or fear holding you back.  Think carefully about your motivations before acting.,love,NEGATIVE,NEGATIVE
Leo,Is there a karmic lesson in this relationship?,Page of Swords,Queen of Wands,Seven of Pentacles,Reading:  The Page of Swords suggests you're analyzing this connection with a critical eye.  The Queen of Wands and Seven of Pentacles indicate you're investing energy and expecting long-term growth.  This relationship encourages you to balance independent thought with patience.,love,NEGATIVE,POSITIVE
Pisces,Will I get married soon?,The Empress,Three of Swords,Eight of Wands,"Reading:  The Empress suggests a nurturing environment, but the Three of Swords indicates some emotional baggage to work through.  The Eight of Wands shows things moving quickly, so decisions are coming.  Focus on self-care before committing.",love,POSITIVE,POSITIVE
Cancer,How can I invite more romance into my life?,Six of Pentacles,Four of Cups,Ace of Cups,"Reading:  Cancer, you're generous but might be overlooking opportunities.  Stop focusing on what's missing and open yourself to new emotional beginnings.  Be receptive to new connections.",love,POSITIVE,POSITIVE
Aries,Is it love or attachment that I'm feeling?,Queen of Cups,Six of Cups,Ace of Wands,"Reading:  The Queen of Cups suggests a deep emotional connection, while the Six of Cups hints at nostalgia or familiarity. The Ace of Wands indicates a spark of new energy and passion.  Trust your intuition, Aries, as it seems like a bit of both.",love,POSITIVE,POSITIVE
Leo,What qualities should I look for in a partner?,Page of Cups,Two of Pentacles,Ten of Cups,"Leo, your ideal partner is emotionally available (Page of Cups), adaptable and balanced (Two of Pentacles), and brings long-term happiness (Ten of Cups). They'll be open and playful, yet grounded and able to navigate life's ups and downs with you, creating a stable and joyful future. Look for someone who embodies these traits.",love,POSITIVE,POSITIVE
Aries,Am I in a twin flame relationship?,The Magician,Five of Pentacles,The Devil,"Reading:  Aries, you have the power to manifest what you desire (The Magician).  You may be focusing on lack or feeling isolated (Five of Pentacles).  Beware of obsessive tendencies or unhealthy attachments (The Devil).  Step back and evaluate the dynamic.",love,NEGATIVE,POSITIVE
Taurus,How can I be more vulnerable in love?,Five of Cups,King of Cups,Queen of Wands,"Taurus, the Five of Cups shows you dwelling on past hurts.  The King and Queen suggest balancing emotional intelligence with confident action.  Don't let past disappointments stop you from opening up.",love,NEGATIVE,POSITIVE
Capricorn,Are we meant to be together?,Death,The Moon,Three of Swords,"Reading:  Capricorn, this relationship likely needs a major overhaul to survive (Death).  Hidden issues and anxieties may cloud your judgment (The Moon).  Heartbreak is possible, so be cautious (Three of Swords).  Think carefully about what you want and need.",love,NEGATIVE,NEGATIVE
Sagittarius,What qualities should I look for in a partner?,Six of Pentacles,Eight of Pentacles,Queen of Cups,"Reading:  Sagittarius, look for someone generous, both materially and emotionally (Six of Pentacles).  They should also be hardworking and dedicated (Eight of Pentacles) with a kind and compassionate heart (Queen of Cups).  Find a balanced and caring partner.",love,POSITIVE,POSITIVE
Taurus,Will I find true love this year?,Five of Cups,Two of Cups,Four of Cups,"Reading:  Taurus, you're dwelling on past hurts (Five of Cups), but a genuine connection is possible (Two of Cups).  You might overlook it due to current dissatisfaction (Four of Cups).  Keep your heart and mind open.",love,POSITIVE,POSITIVE
Scorpio,Is it time to let go of my past relationship?,Five of Wands,Page of Pentacles,Six of Pentacles,"Reading:  The Five of Wands shows lingering conflict, but the Page of Pentacles suggests a new beginning.  The Six of Pentacles highlights an opportunity for balanced giving and receiving in the future. Move forward, Scorpio, it's time.",love,NEGATIVE,POSITIVE
Taurus,What does the future of my love life look like?,The Tower,King of Pentacles,Queen of Pentacles,"Reading:  Big changes are coming, Taurus, likely shaking up old patterns.  A stable, grounded energy will follow, suggesting a focus on material and emotional security.  This could mean a new relationship that is practical and supportive.  Stay open to new possibilities.",love,POSITIVE,POSITIVE
Sagittarius,Are they thinking about me too?,Two of Swords,The Empress,Nine of Swords,"Reading:  You're avoiding a difficult truth, Sagittarius, perhaps idealizing the situation with this person (Two of Swords, The Empress). This is causing you some anxiety (Nine of Swords).  Consider what you genuinely know, not what you hope for.",love,POSITIVE,NEGATIVE
Cancer,Should I confess my feelings to them?,Four of Cups,Six of Pentacles,King of Wands,"Reading:  You're feeling a bit bored and unfulfilled, but you're also generous.  A confident person is impacting your situation.  Think about what you truly want before acting.",love,NEGATIVE,POSITIVE
Aries,Am I seeing this relationship clearly?,Ten of Pentacles,Page of Wands,Judgement,"Aries, the Ten of Pentacles and Page of Wands suggest you're focused on the long-term but still exploring. Judgement indicates a reassessment is needed.  Step back and consider what truly matters to you in this connection.",love,POSITIVE,POSITIVE
Pisces,Why am I afraid of intimacy?,Queen of Wands,Eight of Pentacles,King of Wands,"Pisces, your independent Queen of Wands energy and focused Eight of Pentacles suggest you're comfortable working on yourself.  The King of Wands indicates a desire for a passionate connection, but fear of losing yourself holds you back.  Open yourself to vulnerability for deeper connections.",love,NEGATIVE,POSITIVE
Aquarius,How do I know if it's time to walk away?,Seven of Cups,Page of Pentacles,King of Pentacles,"Reading:  The Seven of Cups suggests you're overwhelmed by choices.  The Page and King of Pentacles indicate a need for grounded practicality. Focus on tangible results, not fantasy, to see your clearest path.  It's time to walk away if your dreams aren't producing real-world progress.",love,NEGATIVE,NEGATIVE
Aquarius,Is now a good time to open up emotionally?,Ten of Pentacles,Queen of Pentacles,King of Wands,"Reading:  The Ten and Queen of Pentacles suggest a stable, secure environment is nurturing your emotional growth. The King of Wands adds a spark of inspiring confidence.  It's a good time to share selectively with those you trust.  Go for it, Aquarius, but choose your confidants wisely.",love,POSITIVE,POSITIVE
Capricorn,What emotional wounds are affecting my love life?,Five of Swords,The Moon,The Emperor,"Capricorn, the Five of Swords and Moon suggest past conflicts and unresolved anxieties are clouding your judgment. The Emperor reveals your need for control may be pushing partners away.  Focus on open communication and releasing old baggage.",love,NEGATIVE,NEGATIVE
Capricorn,How do I know if it's time to walk away?,Six of Cups,Four of Swords,Death,Reading:  The Six of Cups suggests you're clinging to the past. The Four of Swords encourages rest and reflection before making a choice.  Death symbolizes a necessary ending. It's time to move on when nostalgia prevents growth.,love,NEGATIVE,NEGATIVE
Capricorn,How can I invite more romance into my life?,Page of Swords,Nine of Pentacles,Seven of Cups,"Reading:  Capricorn, be open to new ideas and connections (Page of Swords).  Enjoy your independence and build self-sufficiency (Nine of Pentacles).  Don't get lost in fantasies; focus on realistic options (Seven of Cups).  Be confident and grounded in your approach to love.",love,POSITIVE,POSITIVE
Sagittarius,Is now a good time to open up emotionally?,Nine of Wands,The Devil,Six of Pentacles,"Reading:  You've been guarded (Nine of Wands), and unhealthy attachments may hold you back (The Devil). However, now is a good time to share thoughtfully with trusted people (Six of Pentacles).  Focus on balanced, reciprocal emotional connections.",love,POSITIVE,POSITIVE
Sagittarius,Am I in a twin flame relationship?,Temperance,Ace of Cups,Four of Cups,"Reading:  Temperance suggests balance and harmony, while the Ace of Cups indicates new emotional beginnings.  The Four of Cups reveals you may be overlooking something positive.  Consider appreciating what you have now before chasing something idealized.",love,NEGATIVE,POSITIVE
Virgo,Am I in a twin flame relationship?,Seven of Cups,Queen of Wands,Three of Pentacles,"Reading:  Virgo, the Seven of Cups suggests you're caught up in fantasy, while the Queen of Wands and Three of Pentacles point to a grounded partnership based on collaborative effort. This likely isn't a twin flame connection, but a healthy relationship built on shared goals.  Focus on what you're building together.",love,NEGATIVE,POSITIVE
Libra,Will I find true love this year?,Page of Swords,King of Pentacles,Seven of Cups,"Reading:  Libra, the Page of Swords suggests a new perspective on love is coming. The King of Pentacles shows stability and grounded energy will attract. However, the Seven of Cups indicates you may face many tempting choices.  Focus on what truly fulfills you.",love,POSITIVE,POSITIVE
Gemini,Will we get back together?,The Hanged Man,Judgement,Ace of Swords,"Gemini, your reading suggests a period of reflection is needed before any decisions are made.  A fresh perspective will bring clarity and lead to a definitive answer.  Ultimately, you'll have the power to choose your path.",love,NEGATIVE,POSITIVE
Sagittarius,How does my partner truly feel about me?,Knight of Pentacles,Six of Wands,Queen of Cups,Reading:  Your partner values stability and commitment (Knight of Pentacles) and admires your strengths (Six of Wands). They feel deep affection and emotional connection with you (Queen of Cups).  Nurture this bond with open communication and shared experiences.,love,NEGATIVE,POSITIVE
Aries,How can I create a healthy relationship?,Justice,Strength,Six of Cups,"Reading:  Justice highlights the need for fairness and balance in your interactions.  Strength encourages you to approach relationships with compassion and inner resilience. The Six of Cups suggests drawing on positive memories and past experiences.  Focus on balance, kindness, and reflection to cultivate a fulfilling connection.",love,NEGATIVE,POSITIVE
Virgo,Is it time to let go of my past relationship?,Two of Wands,Page of Pentacles,Nine of Pentacles,Reading:  The Two of Wands suggests you're considering your options.  The Page of Pentacles shows potential for new beginnings. The Nine of Pentacles indicates you can be self-sufficient and happy on your own. It's okay to move forward.,love,NEGATIVE,POSITIVE
Gemini,Is there a karmic lesson in this relationship?,Ten of Wands,Death,Nine of Cups,"Reading:  Gemini, the Ten of Wands, Death, and Nine of Cups suggest this relationship involves a burden you need to release.  Transforming this situation will lead to emotional fulfillment.  Let go of what's weighing you down to find happiness.",love,NEGATIVE,POSITIVE
Gemini,Am I seeing this relationship clearly?,Eight of Pentacles,Page of Pentacles,Page of Wands,"Gemini, you're putting in the work, but you may be too focused on the practical aspects (Eight of Pentacles, Page of Pentacles).  A little spontaneity could shift your perspective (Page of Wands).  Lighten up and let things unfold naturally.",love,POSITIVE,POSITIVE
Leo,What is blocking me from finding love?,Six of Cups,Seven of Pentacles,Ten of Swords,"Reading:  Leo, nostalgia and focusing on past relationships (Six of Cups) combined with slow progress and impatience (Seven of Pentacles) create a sense of defeat (Ten of Swords).  This keeps you stuck. Let go of the past and be open to new possibilities.",love,NEGATIVE,NEGATIVE
Aquarius,How can I rebuild trust after betrayal?,Queen of Cups,Temperance,Nine of Swords,Reading:  The Queen of Cups suggests you connect with your emotions honestly.  Temperance encourages finding balance and patience with yourself.  The Nine of Swords highlights lingering anxieties that need addressing.  Focus on self-care and emotional processing to rebuild trust.,love,NEGATIVE,POSITIVE
Cancer,What is the lesson from my past relationships?,Nine of Pentacles,Ace of Cups,Five of Cups,"Cancer, the Nine of Pentacles and Ace of Cups show you built independence and emotional richness.  The Five of Cups reminds you to release past hurts and avoid dwelling on what's lost.  Focus on the good things you've cultivated and learned.",love,NEGATIVE,POSITIVE
Cancer,Am I in a twin flame relationship?,Eight of Wands,Ten of Cups,Seven of Wands,"Reading:  The Eight of Wands suggests things are moving fast, but the Ten of Cups shows a potential for deep emotional fulfillment.  The Seven of Wands hints you may face some challenges to this connection.  Focus on open communication to build a strong foundation.",love,NEGATIVE,POSITIVE
Libra,Will I be reunited with my soulmate?,Queen of Wands,The Moon,The Lovers,"Libra, the Queen of Wands shows your inner strength, while The Moon and The Lovers highlight some confusion around this person.  You have the power to attract love, but uncertainty remains.  Trust your intuition and focus on what you truly desire.",love,POSITIVE,POSITIVE
Cancer,Will we get back together?,The Tower,Nine of Pentacles,The Star,"Reading:  The Tower suggests a past upset rocked your relationship.  The Nine of Pentacles shows you're doing well independently. The Star promises healing and a bright future, but maybe not together. Focus on yourself for now.",love,NEGATIVE,POSITIVE
Virgo,How does my partner truly feel about me?,Justice,The Devil,Ace of Cups,"Reading:  Your partner sees your relationship as karmic and balanced (Justice), but there's an unhealthy attachment or hidden aspect present (The Devil).  A new emotional beginning or wave of love is also entering (Ace of Cups).  Consider addressing the underlying issues to fully embrace this fresh start.",love,NEGATIVE,POSITIVE
Aries,Is there someone new coming into my life?,Seven of Cups,The Hermit,Nine of Cups,"Aries, the Seven of Cups suggests many possibilities, but The Hermit points to some solo time first.  The Nine of Cups hints at emotional fulfillment eventually. Focus on yourself for now to prepare for what you desire.",love,NEGATIVE,POSITIVE
Cancer,Are they thinking about me too?,Justice,The High Priestess,Ace of Swords,"Reading:  Justice suggests a need for balance and fairness in how you approach this.  The High Priestess and Ace of Swords point towards unexpressed thoughts and a new mental clarity.  They might be processing things internally, but direct communication is key.",love,POSITIVE,POSITIVE
Sagittarius,Will this crush turn into something more?,The Hanged Man,Knight of Wands,The Lovers,"Reading:  The Hanged Man suggests you need a new perspective on this situation. The Knight of Wands and The Lovers hint at passion and a choice ahead. Be open to seeing things differently, and trust your gut feeling.",love,NEGATIVE,POSITIVE
Scorpio,How can I be more vulnerable in love?,Ace of Pentacles,Seven of Cups,Temperance,"Reading:  Scorpio, the Ace of Pentacles suggests grounding yourself in the present moment.  The Seven of Cups shows you're fantasizing about different options, making true connection hard.  Temperance advises finding a balance between your desires and reality.  Focus on what you truly want and take a practical step towards it.",love,NEGATIVE,POSITIVE
Scorpio,What is the purpose of this connection?,The Lovers,Ten of Wands,Five of Pentacles,"Reading:  This connection presents a choice, Scorpio, but feels burdensome right now.  You may feel isolated or lacking resources.  Focus on self-care before making any decisions.",love,NEGATIVE,NEGATIVE
Gemini,What is the next step in our relationship?,The Hermit,Three of Cups,Nine of Cups,"Reading:  Gemini, you've needed some alone time (The Hermit), but now's the time to reconnect and celebrate together (Three of Cups).  This will bring you deep satisfaction and emotional fulfillment (Nine of Cups).  Open your heart and enjoy the connection.",love,POSITIVE,POSITIVE
Pisces,What is the next step in our relationship?,The Hierophant,Queen of Pentacles,Eight of Swords,"Reading:  Pisces, the Hierophant suggests seeking guidance or traditional structures. The Queen of Pentacles points towards creating stability and nurturing growth.  However, the Eight of Swords reveals you're feeling limited, perhaps by self-doubt.  Focus on open communication and addressing any fears holding you back.",love,POSITIVE,NEGATIVE
Virgo,Is my partner being honest with me?,Queen of Wands,The High Priestess,Temperance,"Reading:  The Queen of Wands suggests your partner has strong convictions, but The High Priestess points to hidden information.  Temperance encourages balance and finding a middle ground through communication.  Talk to your partner directly.",love,NEGATIVE,POSITIVE
Leo,How can I invite more romance into my life?,Page of Pentacles,Seven of Swords,Nine of Wands,"Reading:  Leo, be open to new learning experiences and practical skills.  Don't let past hurts or sneaky anxieties hold you back from putting yourself out there. Though you may feel guarded, stay optimistic and persistent.  Keep your chin up and your heart open!",love,POSITIVE,POSITIVE
Libra,Why do I keep attracting the wrong people?,Knight of Wands,Eight of Wands,Seven of Wands,"Libra, you're rushing into things (Knight of Wands) and not giving yourself enough time to connect (Eight of Wands). This leads to you having to defend your choices, creating unnecessary drama (Seven of Wands).  Slow down and be more selective.",love,NEGATIVE,NEGATIVE
Pisces,What is the next step in our relationship?,King of Cups,The Hermit,King of Wands,"Reading:  The King of Cups suggests an emotionally mature approach.  The Hermit points towards needing some space for self-reflection. The King of Wands encourages open and honest communication. Take some time apart to think, then talk it out.",love,POSITIVE,POSITIVE
Sagittarius,What kind of love do I deserve?,The Emperor,Six of Swords,King of Pentacles,"Reading:  Sagittarius, you deserve stable, committed love with someone grounded and generous. You're moving away from past emotional baggage and towards more secure relationships.  Look for a partner who values security and long-term growth.",love,POSITIVE,POSITIVE
Virgo,What kind of love do I deserve?,King of Wands,The Tower,Nine of Cups,"Virgo, you deserve a passionate and inspiring love, even if past hurts must be cleared away first.  You'll ultimately find a deeply fulfilling and joyful relationship.  Be open to change and trust your intuition.",love,POSITIVE,POSITIVE
Leo,Is there a karmic lesson in this relationship?,The World,Four of Pentacles,Knight of Cups,"Reading:  The World suggests this relationship offers closure and completion of a cycle.  Holding on too tight, as shown by the Four of Pentacles, may block karmic growth.  The Knight of Cups invites you to approach this with emotional maturity.  Be open to change and release.",love,NEGATIVE,POSITIVE
Aries,Am I ready for a new relationship?,The Lovers,The Fool,King of Swords,"Reading:  The Lovers shows you crave connection, while The Fool suggests you're eager for a fresh start.  The King of Swords hints you might need more emotional clarity first.  Take some time to reflect before jumping in.",love,NEGATIVE,NEGATIVE
Aries,How can I be more vulnerable in love?,Ten of Cups,Nine of Cups,Six of Swords,"Aries, the Ten and Nine of Cups show you desire emotional fulfillment and already possess much to be grateful for.  The Six of Swords suggests moving past old hurts to embrace deeper connection.  Let go of past baggage to find the love you seek.",love,NEGATIVE,POSITIVE
Scorpio,What do I need to release to find love?,Five of Swords,Nine of Cups,Nine of Swords,"Reading:  Scorpio, the Five of Swords and Nine of Swords suggest releasing anxieties and past hurts. The Nine of Cups shows that emotional fulfillment is possible.  Let go of negativity to embrace future happiness.",love,POSITIVE,POSITIVE
Taurus,What do I need to work on before loving again?,Nine of Cups,Eight of Wands,Temperance,"Reading:  Taurus, the Nine of Cups suggests you're nearly ready, but the Eight of Wands says to slow down and be patient.  Temperance advises finding balance between your desires and needs. Focus on creating inner harmony before jumping into anything new.",love,NEGATIVE,POSITIVE
Libra,What do the cards say about our chemistry?,Three of Swords,Ten of Cups,Nine of Pentacles,"Reading:  Past hurts (Three of Swords) may linger, but long-term happiness is possible (Ten of Cups). You're both strong individuals (Nine of Pentacles).  Focus on healing and building together.",love,NEGATIVE,POSITIVE
Libra,How do I know if it's time to walk away?,Eight of Pentacles,The Hanged Man,Four of Cups,"Libra, the Eight of Pentacles shows you're working hard but the Hanged Man suggests you're stuck.  The Four of Cups reveals you're overlooking other options because you're too focused on this one. Look around; there's more out there for you.",love,NEGATIVE,NEGATIVE
Capricorn,Is there a karmic lesson in this relationship?,Seven of Wands,Queen of Wands,Knight of Swords,Reading:  The Seven of Wands suggests you're defending your boundaries in this relationship.  The Queen and Knight of Wands indicate a passionate but potentially volatile connection. This karmic lesson is about balancing self-assertion with open communication.,love,NEGATIVE,POSITIVE
Virgo,Am I in a twin flame relationship?,King of Wands,King of Pentacles,The Star,"Reading:  The King of Wands and King of Pentacles suggest a balanced but potentially competitive dynamic. The Star offers hope and healing, but doesn't confirm 'twin flame' status.  Focus on building a healthy relationship, regardless of labels.",love,NEGATIVE,POSITIVE
Aries,What can I do to attract love into my life?,Two of Swords,Five of Cups,Ten of Pentacles,"Reading:  Aries, you may be blocking yourself off emotionally (Two of Swords) and dwelling on past hurts (Five of Cups).  Focus on building stability and self-worth (Ten of Pentacles).  Open yourself to new experiences and let go of the past.",love,POSITIVE,NEGATIVE
Pisces,Is it time to let go of my past relationship?,Knight of Wands,Page of Swords,The Sun,Reading:  The Knight of Wands and Page of Swords suggest moving forward with clear communication.  The Sun indicates a bright and joyful future independent of the past. It's time to embrace a new chapter.,love,NEGATIVE,POSITIVE
Gemini,Is it time to let go of my past relationship?,The Hanged Man,Ace of Cups,Ten of Cups,Reading:  The Hanged Man suggests you're stuck in limbo regarding your ex.  The Ace of Cups and Ten of Cups signal new emotional fulfillment and family-like happiness are possible. Consider moving on to embrace new opportunities for love.,love,NEGATIVE,POSITIVE
Leo,What do I need to work on before loving again?,Eight of Pentacles,Ten of Wands,Two of Pentacles,"Reading:  Leo, you need to focus on refining your skills and managing your current responsibilities (Eight of Pentacles, Ten of Wands).  You're juggling too much right now, making it hard to open yourself up (Two of Pentacles).  Prioritize and simplify to create space for love.",love,NEGATIVE,NEGATIVE
Aries,What do I need to work on before loving again?,King of Wands,Four of Swords,Ace of Pentacles,"Reading:  Aries, you need to balance your fiery nature (King of Wands) with some quiet reflection (Four of Swords).  Ground yourself and focus on building a strong foundation for yourself (Ace of Pentacles).  Take time for self-care before opening your heart again.",love,NEGATIVE,POSITIVE
Libra,What is my heart truly longing for?,King of Cups,Five of Swords,The Tower,"Libra, you crave emotional maturity and stability (King of Cups), but past conflicts hold you back (Five of Swords).  A sudden shift is coming that will clear the way (The Tower). Let go of what no longer serves you to embrace this change.",love,POSITIVE,POSITIVE
Cancer,Why do I keep attracting the wrong people?,Eight of Cups,Five of Pentacles,Three of Wands,"Cancer, you're walking away from unfulfilling situations (Eight of Cups) but focusing on lack (Five of Pentacles), hindering your broader vision (Three of Wands). You're stuck in a scarcity mindset.  Look beyond your immediate circumstances and expand your horizons.",love,NEGATIVE,POSITIVE
Capricorn,Is my current partner the one for me?,Ace of Pentacles,Knight of Cups,Three of Pentacles,Reading:  This spread suggests a promising start with good potential for emotional connection and collaboration.  You and your partner can build something solid and lasting together. Focus on open communication and shared goals to nurture this budding relationship.,love,NEGATIVE,POSITIVE
Aquarius,Should I confess my feelings to them?,Seven of Wands,Seven of Pentacles,Five of Wands,"Reading:  The Seven of Wands suggests you're ready to stand up for yourself. The Seven of Pentacles shows this requires patience, and the Five of Wands hints at potential conflict.  Consider the possible outcomes before taking action.",love,NEGATIVE,NEGATIVE
Aries,What do the cards say about our chemistry?,Ten of Cups,The Emperor,Knight of Wands,"Reading:  The Ten of Cups shows strong emotional fulfillment, while The Emperor points to a stable, grounding presence.  The Knight of Wands hints at passionate energy and a bold approach to love.  Embrace the exciting potential, Aries.",love,NEGATIVE,POSITIVE
Aries,How can I strengthen the bond with my partner?,Ten of Cups,The Chariot,Ace of Cups,Reading:  The Ten of Cups and Ace of Cups show emotional fulfillment and new romantic beginnings are possible. The Chariot suggests you need to take control and direct this energy. Focus on open communication and shared experiences to build a stronger foundation.,love,NEGATIVE,POSITIVE
Taurus,How can I rebuild trust after betrayal?,Page of Swords,Four of Cups,Knight of Cups,"Reading:  The Page of Swords suggests you seek out the truth calmly.  The Four of Cups shows you're overlooking opportunities for healing. The Knight of Cups encourages you to approach forgiveness with compassion, including for yourself. Accept support and reconnect with what brings you joy.",love,NEGATIVE,POSITIVE
